pawn,c,156
pieces,c,146
king,c,134
chess,c,133
squares,c,130
thats,,97
captured,c,95
white,c,80
queening,c,77
game,c,75
knights,c,63
youre,,62
black,c,61
castling,c,59
bishops,c,55
board,c,52
players,c,52
rooks,c,51
figure,,49
playing,c,45
may,,40
attack,c,39
topics,,37
sides,,35
cannot,,34
life,,32
opponent,c,31
diagram,,27
checkmate,c,26
must,,25
note,,23
en,c,22
passant,c,22
promotes,c,20
way,,20
learn,,18
llc,,18
never,,18
ranks,,18
ies,,17
tm,,17
com,,16
copyright,,16
diagonal,c,16
theres,,16
importance,,15
places,,15
forward,c,14
jump,c,14
land,,14
turn,c,14
enemy,c,13
like,,13
another,,12
developed,,12
many,,12
possible,,12
terms,,12
chessboards,c,11
see,,11
special,,11
win,c,11
also,,10
fun,,10
knows,,10
legal,c,10
material,,10
since,,10
stalemate,c,10
danger,,9
required,,9
series,,9
takes,,9
three,,9
video,,9
would,,9
advance,,8
defended,c,8
good,,8
least,,8
need,,8
occurs,,8
reached,,8
though,,8
able,,7
become,,7
could,,7
dark,,7
describe,,7
even,,7
give,,7
goals,,7
happens,,7
letter,,7
saying,,7
shown,,7
understand,,7
ahead,,6
always,,6
assign,,6
avoid,,6
bonus,c,6
chessmen,c,6
corners,c,6
helps,,6
however,,6
meaning,,6
notation,,6
power,,6
regarding,,6
taken,,6
accomplish,,5
challenge,,5
effective,,5
either,,5
escape,,5
every,,5
following,,5
go,,5
horizontally,,5
idea,,5
insufficient,,5
kin,,5
later,,5
mate,c,5
men,,5
nd,,5
neither,,5
notional,,5
pinning,c,5
protects,c,5
reasonable,,5
remember,,5
simply,,5
skills,,5
stand,,5
sure,,5
th,,5
valuable,,5
according,,4
along,,4
arrowhead,,4
best,,4
better,,4
choice,,4
discovered,,4
dont,,4
exactly,,4
exercise,,4
hands,,4
illegal,c,4
influence,,4
look,,4
lose,,4
mistakes,,4
nf,,4
occupied,,4
opposite,c,4
partner,,4
previous,,4
straight,,4
tactic,,4
things,,4
worth,,4
achieve,,3
adjacent,,3
agree,,3
already,,3
answering,,3
away,,3
backward,,3
bad,,3
brings,,3
central,,3
concepts,,3
critical,,3
delivered,,3
easily,,3
ell,,3
enough,,3
etc,,3
forking,c,3
front,,3
goes,,3
hess,,3
introduce,,3
kingdoms,,3
leaves,,3
less,,3
living,,3
made,,3
man,,3
manoeuvre,,3
middle,,3
necessarily,,3
normally,,3
please,,3
repetition,,3
reserved,,3
several,,3
situations,,3
st,,3
strategic,,3
therefore,,3
think,,3
threatens,,3
threefold,,3
towards,,3
tt,,3
us,,3
wants,,3
written,,3
yet,,3
across,,2
agreement,,2
algebraic,,2
aligned,,2
almost,,2
apart,,2
army,,2
beginners,,2
behind,,2
chessman,c,2
choose,,2
chosen,,2
closer,,2
coaching,,2
come,,2
complex,,2
concerning,,2
consecutive,,2
crosses,,2
decides,,2
decision,,2
defensive,,2
distributed,,2
dragging,,2
drawn,,2
earlier,,2
easier,,2
eight,,2
enter,,2
ever,,2
examine,,2
exc,,2
exerting,,2
explained,,2
explanation,,2
fifty,,2
french,,2
friendly,,2
great,,2
hanging,,2
impact,,2
impart,,2
instead,,2
job,,2
ke,,2
kids,,2
kind,,2
known,,2
lets,,2
loss,,2
lost,,2
matter,,2
nc,,2
near,,2
notice,,2
nxe,,2
obstruction,,2
occ,,2
offering,,2
onto,,2
opportunity,,2
oppose,,2
orientation,,2
particular,,2
perpetual,,2
rather,,2
safety,,2
score,,2
shaking,,2
simultaneously,,2
skewers,c,2
slant,,2
sometimes,,2
still,,2
stood,,2
students,,2
threat,,2
trade,,2
unique,,2
unless,,2
usually,,2
vacant,,2
war,,2
whatever,,2
whether,,2
winner,c,2
www,,2
accident,,1
ach,,1
adequate,,1
adjusted,,1
adult,,1
advantage,,1
advise,,1
ago,,1
alternating,,1
among,,1
angle,,1
annoying,,1
anyway,,1
apparent,,1
arises,,1
around,,1
arrived,,1
arrow,,1
article,,1
aspect,,1
assume,,1
attention,,1
automatically,,1
awesome,,1
battle,,1
bb,,1
bc,,1
beat,,1
beyond,,1
bg,,1
blow,,1
blunder,,1
bold,,1
brave,,1
bxd,,1
bxf,,1
cant,,1
capital,,1
career,,1
carefully,,1
carr,,1
carried,,1
cast,,1
chance,,1
cheat,,1
chequered,,1
ches,,1
chesstactics,,1
chose,,1
claimed,,1
clock,,1
commences,,1
compulsory,,1
concludes,,1
confused,,1
considered,,1
consist,,1
consternation,,1
contact,,1
continue,,1
contrast,,1
cooperative,,1
cope,,1
core,,1
counterthreat,,1
cover,,1
crowe,,1
crucial,,1
cxb,,1
deal,,1
decline,,1
deferred,,1
denote,,1
designated,,1
devote,,1
didnt,,1
doesnt,,1
doom,,1
dpawn,,1
dxc,,1
early,,1
eff,,1
efforts,,1
eg,,1
electronic,,1
else,,1
endgame,,1
enjoy,,1
enpassant,,1
entire,,1
epawn,,1
especially,,1
ess,,1
essential,,1
est,,1
europe,,1
everyday,,1
everything,,1
excellent,,1
exchanged,,1
exclamation,,1
exposed,,1
familiar,,1
famous,,1
fantastic,,1
far,,1
farthest,,1
fast,,1
feedback,,1
fighting,,1
fire,,1
flight,,1
footsoldier,,1
forfeited,,1
forgotten,,1
four,,1
fray,,1
free,,1
frequently,,1
fully,,1
gain,,1
golden,,1
guarding,,1
guide,,1
happier,,1
happy,,1
havent,,1
healthy,,1
hemmed,,1
highlighted,,1
history,,1
home,,1
horses,,1
identical,,1
identify,,1
ill,,1
illustrate,,1
immune,,1
incorrectly,,1
indeed,,1
individuals,,1
infinitely,,1
information,,1
instilled,,1
instructive,,1
intriguing,,1
invented,,1
involved,,1
inward,,1
ireland,,1
journey,,1
kill,,1
knew,,1
launch,,1
leaps,,1
lesser,,1
lessons,,1
lin,,1
liscence,,1
little,,1
lower,,1
lowest,,1
maintain,,1
major,,1
marches,,1
master,,1
mastery,,1
meanwhile,,1
mechanical,,1
meet,,1
michael,,1
minor,,1
mission,,1
mobilising,,1
mobility,,1
movement,,1
much,,1
national,,1
nce,,1
neighbouring,,1
ng,,1
nothing,,1
nowhere,,1
numerical,,1
often,,1
okay,,1
oo,,1
ooo,,1
overleaf,,1
patience,,1
pay,,1
peasants,,1
permission,,1
permitted,,1
perseverance,,1
photo,,1
piled,,1
planned,,1
plus,,1
popularly,,1
powerless,,1
practise,,1
precisely,,1
pressure,,1
prevent,,1
principles,,1
prior,,1
priorities,,1
priorityif,,1
private,,1
productive,,1
pronounced,,1
proper,,1
publisher,,1
qeenside,,1
qh,,1
qualities,,1
question,,1
quickly,,1
quite,,1
qxf,,1
rarely,,1
realises,,1
really,,1
recognised,,1
reduces,,1
remind,,1
reproduced,,1
resignation,,1
respond,,1
retain,,1
retreat,,1
reveals,,1
role,,1
royal,,1
royalty,,1
sacrificed,,1
safeguards,,1
safer,,1
scholars,,1
scholastic,,1
schools,,1
seen,,1
seize,,1
sense,,1
shape,,1
share,,1
sheet,,1
sideways,,1
significant,,1
six,,1
sixty,,1
small,,1
soon,,1
specific,,1
speed,,1
spite,,1
sportsmanship,,1
stay,,1
strict,,1
strong,,1
succeed,,1
suffer,,1
sword,,1
symbols,,1
teachers,,1
teaching,,1
team,,1
tie,,1
towers,,1
traditionally,,1
transmitted,,1
trick,,1
twice,,1
ultimate,,1
unable,,1
uncastle,,1
uncovered,,1
understood,,1
unfortunate,,1
unlike,,1
unmasked,,1
unoccupied,,1
ust,,1
victim,,1
virtues,,1
watch,,1
weaker,,1
weve,,1
whenever,,1
wonderful,,1
worry,,1
wrong,,1
years,,1
youll,,1
youve,,1
