term,userClassification,frequencyInDocument,tfidf,freqScore,tfidfScore,contextLikelihoodScore
panels,,72,0.0015791846009552738,6.635514018691588,9.69768704190299,89.34913831543105
colon,,97,0.0522367486625738,8.97196261682243,5.5598564684579355,74.88282438990296
requires,,49,0.007539324549237457,4.485981308411215,8.556701030927835,63.385200886405244
advantage,,50,0.01669421864474008,4.579439252336448,6.804123711340207,56.1590712014645
tile,,108,0.023069848584725737,10.0,5.583597912315195,55.835979123151944
fonts,,27,0.003446023821286234,2.4299065420560746,9.340306602245477,47.69607211760584
see,,30,0.015462184491224919,2.7102803738317753,7.039979537948703,44.08031837387966
many,,31,0.01669421864474008,2.803738317757009,6.804123711340207,44.07698236824356
several,,23,0.012386033188032965,2.05607476635514,7.628865979381443,40.68551883611138
declare,,18,0.0037696622746187284,1.588785046728972,9.278350515463918,39.74130455727912
installation,,17,0.0010770463641767796,1.4953271028037383,9.79381443298969,39.64495616147991
likely,,15,0.002692615910441949,1.308411214953271,9.484536082474227,37.40967337893824
section,,16,0.006700279946197466,1.4018691588785046,8.717324466444438,37.22054831744548
influences,,14,0.002154092728353559,1.2149532710280373,9.587628865979381,36.64852105212448
increase,,46,0.006857668699734018,4.205607476635514,8.687194575598202,36.534930458123284
great,,14,0.004430602055939444,1.2149532710280373,9.151822774315614,36.119037015523645
demands,,13,0.0016155695462651692,1.1214953271028036,9.690721649484535,35.86809904615088
go,,12,0.003409768624946125,1.02803738317757,9.347247156025787,34.60931950619474
imap,,12,0.006184873796489968,1.02803738317757,8.815991815179482,34.06316915579199
known,,11,0.005333318046460522,0.9345794392523364,8.979010336016241,33.391598444874994
normally,,8,0.0010770463641767796,0.6542056074766355,9.79381443298969,31.40716832064746
natural,,8,0.0020616245988299893,0.6542056074766355,9.605330605059827,31.283861143497084
efficiency,,8,0.0025639130547750744,0.6542056074766355,9.509174456600121,31.220955251981387
nar,,8,0.0029859379712928614,0.6542056074766355,9.428383647960041,31.168101451936476
contacted,,7,0.0016155695462651692,0.5607476635514018,9.690721649484535,30.43404952307544
gain,,7,0.00197946413021185,0.5607476635514018,9.621059085626039,30.39498640315479
continue,,7,0.0032311390925303385,0.5607476635514018,9.381443298969073,30.260622410636863
black,,7,0.003446023821286234,0.5607476635514018,9.340306602245477,30.237555104062885
bon,,7,0.0035131848684570297,0.5607476635514018,9.327449552584016,30.230345543505056
hall,,7,0.0035131848684570297,0.5607476635514018,9.327449552584016,30.230345543505056
ca,,6,0.0016048050637607564,0.4672897196261682,9.692782360148966,29.529337551471478
iam,,6,0.002436663956790457,0.4672897196261682,9.53353452900941,29.454922677107202
witt,,6,0.002531470559335182,0.4672897196261682,9.515385121748798,29.44644164567701
conditions,,5,0.0016155695462651692,0.37383177570093457,9.690721649484535,28.622699682050293
sas,,5,0.001919755664433205,0.37383177570093457,9.632489442091051,28.6009306325574
jan,,5,0.002345860424728562,0.37383177570093457,9.550917604025898,28.57043648748632
lome,,5,0.0025770307485374865,0.37383177570093457,9.506663256324783,28.553892806102724
override,,5,0.002692615910441949,0.37383177570093457,9.484536082474227,28.545620965410926
colopedia,,4,0,0.2803738317757009,10.0,27.80373831775701
sharing,,4,0.00043253245549404126,0.2803738317757009,9.917197668965194,27.78052271092482
fort,,4,0.0020075342105468743,0.2803738317757009,9.615685458619437,27.69598657718302
mb,,3,0.00099499046111919,0.18691588785046728,9.809522895931677,26.833555681482558
ai,,3,0.0011077857996849376,0.18691588785046728,9.787929795010646,26.829519587852456
abbreviation,,3,0.0011149122889132401,0.18691588785046728,9.786565527629778,26.829264584603695
minuit,,3,0.0013109575139965655,0.18691588785046728,9.749035392216928,26.822249606021856
nan,,3,0.0013158390911129697,0.18691588785046728,9.748100882079644,26.82207493122984
corona,,3,0.0013709503644891306,0.18691588785046728,9.73755059424834,26.820102914812775
audio,,3,0.001428145329656907,0.18691588785046728,9.726601412564534,26.81805633879711
upkeep,,3,0.0014768673519798146,0.18691588785046728,9.717274258105205,26.816312945440224
hardy,,3,0.001546218449122492,0.18691588785046728,9.70399795379487,26.813831393232686
ttf,,3,0.0016155695462651692,0.18691588785046728,9.690721649484535,26.811349841025148
copyright,,3,0.0016155695462651692,0.18691588785046728,9.690721649484535,26.811349841025148
mixed,,3,0.0016155695462651692,0.18691588785046728,9.690721649484535,26.811349841025148
marsh,,3,0.0016155695462651692,0.18691588785046728,9.690721649484535,26.811349841025148
modern,,3,0.0016155695462651692,0.18691588785046728,9.690721649484535,26.811349841025148
suited,,2,0.000492289117326605,0.09345794392523364,9.905758086035068,25.925771783741595
ii,,2,0.0007543432367965834,0.09345794392523364,9.855591464608699,25.92108331444941
mandatory,,2,0.0008293449578306368,0.09345794392523364,9.841233426837524,25.919741441760515
loglevel,,2,0.0008501808666004222,0.09345794392523364,9.837244681499568,25.91936866182239
history,,2,0.0009472509349010528,0.09345794392523364,9.818661965157924,25.917631959360552
la,,2,0.0010037671052734371,0.09345794392523364,9.80784272930972,25.91662081582334
white,,2,0.0010037671052734371,0.09345794392523364,9.80784272930972,25.91662081582334
picking,,2,0.0010037671052734371,0.09345794392523364,9.80784272930972,25.91662081582334
accelerators,,2,0.0010770463641767796,0.09345794392523364,9.79381443298969,25.915309760092494
documentation,,2,0.0010770463641767796,0.09345794392523364,9.79381443298969,25.915309760092494
scrub,,2,0.0010770463641767796,0.09345794392523364,9.79381443298969,25.915309760092494
man,,2,0.0010770463641767796,0.09345794392523364,9.79381443298969,25.915309760092494
amphibious,,2,0.0011778413213908122,0.09345794392523364,9.774518638401645,25.91350641480389
depot,,1,0.0004180960799483963,0.04672897196261682,9.919961312552374,25.463549594044505
pc,,1,0.0004275605480559729,0.04672897196261682,9.918149471587938,25.463464928578876
youth,,1,0.00044820746568110354,0.04672897196261682,9.914196905979672,25.463280229251385
sense,,1,0.0004691720849457125,0.04672897196261682,9.910183520805179,25.463092687888093
enhanced,,1,0.00048484709513277476,0.04672897196261682,9.907182757819658,25.462952465318676
overflow,,1,0.000492289117326605,0.04672897196261682,9.905758086035068,25.462885891870798
affairs,,1,0.0005003156181255606,0.04672897196261682,9.90422152393952,25.462814089903716
teleport,,1,0.0005154061497074973,0.04672897196261682,9.901332651264957,25.462679095853503
textile,,1,0.0005352445737397911,0.04672897196261682,9.897534860525637,25.462501628996524
inc,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
intervention,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
party,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
shadowed,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
mac,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
front,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
brave,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
tory,,1,0.0005385231820883898,0.04672897196261682,9.896907216494846,25.462472299836207
