Design,Context,Neither,Total
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.9827586206896551,1.0,1.0666666666666667,1.0
0.9701492537313433,1.0,1.1428571428571428,1.0
0.9552238805970149,0.9789473684210527,1.5,1.0
0.9393939393939394,1.0,1.3636363636363635,1.0
1.0,1.0,1.0,1.0
0.9393939393939394,0.9743589743589743,2.0,1.0
0.971830985915493,1.0,1.4,1.0
0.9726027397260274,1.0,1.2857142857142858,1.0
1.0,1.0,1.0,1.0
0.9824561403508771,1.0,1.0769230769230769,1.0
